gene_id,Rep1._x,Rep2._x,Rep3._x,Rep1._y,Rep2._y,Rep3._y
ENSMUSG00000001305,87.0,111.0,81.0,97.0,96.0,60.0
ENSMUSG00000001313,68.0,72.33,91.0,75.0,113.0,55.0
ENSMUSG00000001323,1568.06,1597.09,1365.6,1187.44,1486.24,1045.59
ENSMUSG00000001334,1.0,3.0,2.0,2.0,4.0,6.0
ENSMUSG00000001348,839.0,1050.0,922.0,957.0,850.0,498.0
ENSMUSG00000001349,1.0,0.0,0.0,10.0,13.0,13.0
ENSMUSG00000001366,780.0,725.0,604.0,620.0,615.0,411.0
ENSMUSG00000001376,181.0,148.0,121.0,145.0,156.0,122.0
ENSMUSG00000001379,137.0,272.0,250.0,183.0,179.0,99.0
ENSMUSG00000001380,299.23,359.96,310.72,339.07,344.47,204.76
ENSMUSG00000001383,253.0,276.0,247.0,303.0,299.0,203.0
ENSMUSG00000001403,13.0,9.0,10.0,8.0,16.0,10.0
ENSMUSG00000001415,342.0,506.0,397.0,422.0,409.0,227.0
ENSMUSG00000001416,967.0,1092.0,992.0,920.0,964.98,722.0
ENSMUSG00000001417,51.1,53.04,35.65,75.69,57.76,59.5
ENSMUSG00000001418,474.35,641.19,515.16,545.28,487.58,296.62
ENSMUSG00000001419,483.68,704.75,440.31,383.81,322.8,252.75
ENSMUSG00000001420,6.65,9.81,12.84,14.72,2.42,11.38
ENSMUSG00000001424,1142.0,1506.0,1209.0,1233.0,1315.0,773.0
ENSMUSG00000001435,8167.0,10348.0,8654.0,9710.0,7385.0,4506.0
ENSMUSG00000001436,99.0,95.0,99.0,108.0,64.0,42.0
ENSMUSG00000001440,1371.0,1514.0,1258.0,1420.0,1419.0,1096.0
ENSMUSG00000001441,362.0,403.0,346.0,300.0,256.0,243.0
ENSMUSG00000001444,1.0,3.0,1.0,1.0,3.0,2.0
ENSMUSG00000001445,468.0,533.0,474.0,398.0,480.99,297.0
ENSMUSG00000001467,2041.0,2431.0,2084.0,3366.0,2817.0,2197.0
ENSMUSG00000001472,1439.0,1870.0,1508.0,1605.0,1544.0,987.0
ENSMUSG00000001473,62.0,126.0,87.0,58.0,71.0,41.0
ENSMUSG00000001482,411.0,446.0,410.0,457.0,416.0,351.0
ENSMUSG00000001497,6.0,4.0,5.0,4.03,3.0,2.0
ENSMUSG00000001506,6.0,59.0,39.0,70.0,88.0,61.0
ENSMUSG00000001507,46.0,68.0,88.0,58.0,52.0,43.0
ENSMUSG00000001517,7.0,7.0,9.0,10.0,12.0,10.0
ENSMUSG00000001518,116.0,134.0,83.0,122.0,121.0,82.0
ENSMUSG00000001520,8.0,9.0,7.0,5.0,1.0,6.0
ENSMUSG00000001521,9.0,15.0,17.0,10.0,12.0,10.0
ENSMUSG00000001524,96.0,110.0,90.0,122.0,82.0,61.0
ENSMUSG00000001525,646.66,989.2,658.0,763.0,736.39,365.38
ENSMUSG00000001542,1434.99,1428.98,1267.99,1217.0,1103.0,942.0
ENSMUSG00000001552,253.0,389.0,308.0,414.0,342.0,225.0
ENSMUSG00000001555,4.0,6.0,6.0,7.0,9.62,12.0
ENSMUSG00000001569,207.0,242.0,191.0,218.0,217.0,142.0
ENSMUSG00000001576,655.0,913.0,828.0,859.0,852.0,548.0
ENSMUSG00000001588,34.0,30.0,34.0,32.0,35.0,24.0
ENSMUSG00000001604,494.0,663.0,561.0,702.0,874.0,444.0
ENSMUSG00000001627,162.69,254.0,209.37,226.0,208.0,150.93
ENSMUSG00000001630,302.0,232.0,241.0,276.0,270.0,224.0
ENSMUSG00000001632,196.05,283.46,223.98,232.0,205.87,107.84
ENSMUSG00000001642,92.0,108.0,95.0,100.0,82.0,73.0
ENSMUSG00000001663,2307.0,2416.0,1894.0,1728.0,1943.0,1195.0
ENSMUSG00000001665,579.8,597.85,570.8,280.63,397.0,267.26
