"","Gene","APAP","Control.1","Control.2"
"38222","ENSG00000189377",4,8,0
"38223","ENSG00000253048",0,0,0
"38224","ENSG00000269374",10,15,4
"38225","ENSG00000079385",2295,1744,1282
"38226","ENSG00000230558",1,0,0
"38227","ENSG00000124469",7,4,2
"38228","ENSG00000233681",4,3,1
"38229","ENSG00000231561",0,0,0
"38230","ENSG00000243167",6,4,2
"38231","ENSG00000221826",2,2,0
"38232","ENSG00000124467",5,2,0
"38233","ENSG00000238092",1,0,0
"38234","ENSG00000225877",0,0,2
"38235","ENSG00000248257",0,2,1
"38236","ENSG00000231924",0,1,7
"38237","ENSG00000170848",0,2,0
"38238","ENSG00000221878",0,0,0
"38239","ENSG00000227349",1,0,0
"38240","ENSG00000243130",0,0,0
"38241","ENSG00000242221",1,0,0
"38242","ENSG00000227606",0,0,0
"38243","ENSG00000204941",0,0,0
"38244","ENSG00000243137",2,0,2
"38245","ENSG00000241104",0,0,0
"38246","ENSG00000183668",0,0,0
"38247","ENSG00000236123",1,0,0
"38248","ENSG00000230681",0,0,0
"38249","ENSG00000231412",8,4,6
"38250","ENSG00000204936",36,51,43
"38251","ENSG00000272396",0,2,1
"38252","ENSG00000204933",0,2,7
"38253","ENSG00000124466",4,0,4
"38254","ENSG00000176531",309,361,359
"38255","ENSG00000105755",206,112,251
"38256","ENSG00000176472",18,32,36
"38257","ENSG00000073050",328,154,167
"38258","ENSG00000269177",10,0,2
"38259","ENSG00000234465",18,16,24
"38260","ENSG00000167378",1684,1212,1097
"38261","ENSG00000124444",173,181,193
"38262","ENSG00000226763",8,27,27
"38263","ENSG00000131116",206,71,143
"38264","ENSG00000105767",75,150,149
"38265","ENSG00000011422",1089,141,55
"38266","ENSG00000239948",21,3,4
"38267","ENSG00000283525",4,0,0
"38268","ENSG00000105771",653,310,316
"38269","ENSG00000104783",87,4,15
"38270","ENSG00000159871",20,4,4
"38271","ENSG00000268601",2,4,2
"38272","ENSG00000167637",312,164,295
"38273","ENSG00000176222",11,19,47
"38274","ENSG00000278917",5,3,11
"38275","ENSG00000267058",3,5,6
"38276","ENSG00000286613",5,4,4
"38277","ENSG00000267191",19,10,31
"38278","ENSG00000124459",526,220,374
"38279","ENSG00000159905",142,65,129
"38280","ENSG00000204920",131,127,76
"38281","ENSG00000277806",18,13,12
"38282","ENSG00000278492",3,1,7
"38283","ENSG00000266921",8,4,11
"38284","ENSG00000159882",144,82,118
"38285","ENSG00000159885",74,37,43
"38286","ENSG00000178386",23,8,30
"38287","ENSG00000186026",46,21,38
"38288","ENSG00000267680",486,257,273
"38289","ENSG00000186019",32,23,31
"38290","ENSG00000256294",256,159,242
"38291","ENSG00000263002",317,192,268
"38292","ENSG00000167380",576,215,373
"38293","ENSG00000131115",383,233,303
"38294","ENSG00000159917",371,233,280
"38295","ENSG00000279103",46,42,24
"38296","ENSG00000159915",108,67,93
"38297","ENSG00000270679",11,10,6
"38298","ENSG00000267590",9,20,14
"38299","ENSG00000062370",149,47,83
"38300","ENSG00000267508",49,26,68
"38301","ENSG00000278318",142,32,91
"38302","ENSG00000176761",3,0,11
"38303","ENSG00000167384",311,298,278
"38304","ENSG00000273777",4,80,7
"38305","ENSG00000267614",0,10,0
"38306","ENSG00000230666",17,179,31
"38307","ENSG00000224366",0,20,6
"38308","ENSG00000216588",209,251,273
"38309","ENSG00000266903",166,594,282
"38310","ENSG00000073008",1741,2130,2149
"38311","ENSG00000283673",5,7,4
"38312","ENSG00000186567",287,590,359
"38313","ENSG00000213892",87,243,136
"38314","ENSG00000252200",2,9,0
"38315","ENSG00000069399",1217,1649,955
"38316","ENSG00000253027",7,0,0
"38317","ENSG00000236807",0,6,0
"38318","ENSG00000142273",563,392,372
"38319","ENSG00000285128",19,12,32
"38320","ENSG00000187244",431,509,1156
"38321","ENSG00000130202",2670,1982,1684
"38322","ENSG00000267282",2,4,1
"38323","ENSG00000130204",1308,897,740
"38324","ENSG00000130203",35429,32555,28783
"38325","ENSG00000280087",61,44,24
"38326","ENSG00000130208",22715,12530,15061
"38327","ENSG00000214855",1197,624,91
"38328","ENSG00000267467",4,0,0
"38329","ENSG00000224916",42,46,85
"38330","ENSG00000234906",297,173,188
"38331","ENSG00000267114",22,37,32
"38332","ENSG00000104853",2675,2160,2100
"38333","ENSG00000104856",490,213,88
"38334","ENSG00000104859",752,1005,768
